2025-1-27, T003, 1, Transfer, 1
2025-1-27, TXN002, 0, Withdraw
2025-1-27, T002, 0, Withdraw
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN001, 1000, Deposit
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN002, 500, Withdraw
2025-1-29, TXN003, 100, Transfer, targetID
